Target  Old_locustag/genename   Strain_short    Strain_full
SL3352	SeAg_B3570	SALA4	Salmonella agona (strain SL483)
SL3352	SARI_04254	SALAR	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)
SL3352	SC3317	SALCH	Salmonella choleraesuis (strain SC-B67)
SL3352	SeD_A3739	SALDC	Salmonella dublin (strain CT_02021853)
SL3352	SEN3213	SALEP	Salmonella enteritidis PT4 (strain P125109)
SL3352	SG3270	SALG2	Salmonella gallinarum (strain 287/91 / NCTC 13346)
SL3352	SeHA_C3677	SALHS	Salmonella heidelberg (strain SL476)
SL3352	SNSL254_A3642	SALNS	Salmonella newport (strain SL254)
SL3352	SPA3246	SALPA	Salmonella paratyphi A (strain ATCC 9150 / SARB42)
SL3352	SPAB_04210	SALPB	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)
SL3352	SPC_3450	SALPC	Salmonella paratyphi C (strain RKS4594)
SL3352	SSPA3032	SALPK	Salmonella paratyphi A (strain AKU_12601)
SL3352	SeSA_A3571	SALSV	Salmonella schwarzengrund (strain CVM19633)
SL3352	STM14_4076	SALT1	Salmonella typhimurium (strain 14028s / SGSC 2262)
SL3352	STM474_3541	SALT4	Salmonella typhimurium (strain 4/74)
SL3352	STM_MW33771	SALTD	Salmonella typhimurium (strain D23580)
SL3352	STY3559	SALTI	Salmonella typhi
SL3352	SL1344_3352	SALTS	Salmonella typhimurium (strain SL1344)
SL3352	accB	SALTY	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
SL3353	SeAg_B3571	SALA4	Salmonella agona (strain SL483)
SL3353	SARI_04253	SALAR	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)
SL3353	SBG_2997	SALBC	Salmonella bongori (strain ATCC 43975 / DSM 13772 / NCTC 12419)
SL3353	SC3318	SALCH	Salmonella choleraesuis (strain SC-B67)
SL3353	SeD_A3740	SALDC	Salmonella dublin (strain CT_02021853)
SL3353	SEN3214	SALEP	Salmonella enteritidis PT4 (strain P125109)
SL3353	SG3271	SALG2	Salmonella gallinarum (strain 287/91 / NCTC 13346)
SL3353	SeHA_C3678	SALHS	Salmonella heidelberg (strain SL476)
SL3353	SNSL254_A3643	SALNS	Salmonella newport (strain SL254)
SL3353	SPA3247	SALPA	Salmonella paratyphi A (strain ATCC 9150 / SARB42)
SL3353	SPAB_04211	SALPB	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)
SL3353	SPC_3451	SALPC	Salmonella paratyphi C (strain RKS4594)
SL3353	SSPA3033	SALPK	Salmonella paratyphi A (strain AKU_12601)
SL3353	SeSA_A3572	SALSV	Salmonella schwarzengrund (strain CVM19633)
SL3353	STM14_4077	SALT1	Salmonella typhimurium (strain 14028s / SGSC 2262)
SL3353	STM474_3542	SALT4	Salmonella typhimurium (strain 4/74)
SL3353	STM_MW33781	SALTD	Salmonella typhimurium (strain D23580)
SL3353	STY3560	SALTI	Salmonella typhi
SL3353	SL1344_3353	SALTS	Salmonella typhimurium (strain SL1344)
SL3353	accC	SALTY	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
SL0468	SeAg_B0516	SALA4	Salmonella agona (strain SL483)
SL0468	SARI_02459	SALAR	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)
SL0468	SBG_0419	SALBC	Salmonella bongori (strain ATCC 43975 / DSM 13772 / NCTC 12419)
SL0468	SC0517	SALCH	Salmonella choleraesuis (strain SC-B67)
SL0468	SeD_A0519	SALDC	Salmonella dublin (strain CT_02021853)
SL0468	SEN0456	SALEP	Salmonella enteritidis PT4 (strain P125109)
SL0468	SG0485	SALG2	Salmonella gallinarum (strain 287/91 / NCTC 13346)
SL0468	SeHA_C0578	SALHS	Salmonella heidelberg (strain SL476)
SL0468	SNSL254_A0525	SALNS	Salmonella newport (strain SL254)
SL0468	SPA2247	SALPA	Salmonella paratyphi A (strain ATCC 9150 / SARB42)
SL0468	SPAB_03099	SALPB	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)
SL0468	SPC_0489	SALPC	Salmonella paratyphi C (strain RKS4594)
SL0468	SSPA2090	SALPK	Salmonella paratyphi A (strain AKU_12601)
